external_ref,status,source,ref,date_time,state,cvv_provided,amount,country,currency,rates,amount_usd,chargeback
nCyEIIGaP5QQ2Wqb-_Rt8,True,GLOBALPAY,evt_1ESgcCOV7fY1ChY1MkZizZt,2019-01-01T00:00:00.000Z,DECLINED,False,1020.46,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}",1020.46,False
ptNiI9B7NNpK7VsMZx6zZ,True,GLOBALPAY,evt_1EBMGCEjEtianKMJaZXOx1y,2019-01-01T04:48:00.000Z,ACCEPTED,False,1582.57,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}",1582.57,True
1GS5BDKBnauCt-3nHPs6x,True,GLOBALPAY,evt_1EOALu0AZqEhZBn9ub_nbcE,2019-01-01T09:36:00.000Z,DECLINED,False,1653.07,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}",1653.07,False
Y_oecYz8GjBDaxmMqkkLQ,True,GLOBALPAY,evt_1ESHsWyaSPqE1mrmJ2B6rvs,2019-01-01T14:24:00.000Z,ACCEPTED,False,2228.17,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}",2228.17,True
LlEs1TnKVa2xX6PH9Zsz0,True,GLOBALPAY,evt_1EjzPk13qLzmvDR_4hXuMMw,2019-01-01T19:12:00.000Z,ACCEPTED,False,2589.92,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}",2589.92,True
XMiBCl0zkTGdVu_IgKNbS,True,GLOBALPAY,evt_1ESWbgipcFeU4B6eW5kWMgn,2019-01-01T00:00:00.000Z,ACCEPTED,False,1509.12,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}",60.12466666468056,True
unSNmffbtST60mDH0WpUc,True,GLOBALPAY,evt_1Exxzo9M0d271kmuX5kNmRL,2019-01-01T04:48:00.000Z,ACCEPTED,False,1923.13,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}",76.61918880065676,True
-vovSFhnOpqTQVOm2MFme,True,GLOBALPAY,evt_1ERnu8szlZndncFl6bunEBM,2019-01-01T09:36:00.000Z,ACCEPTED,False,1847.42,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}",73.60283588426644,True
lTsAIkKdGo7Y009yqBCpd,True,GLOBALPAY,evt_1EOiOA5A29jldBS0TfJ15I-,2019-01-01T14:24:00.000Z,DECLINED,False,2270.79,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}",90.47026864363998,False
b8bt9Cxmr1FcWw0_D-Fu0,True,GLOBALPAY,evt_1E30OuikKUAYMIFg92oxAH_,2019-01-01T19:12:00.000Z,ACCEPTED,False,2134.27,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}",85.03119190152393,True
